매물번호,매물명,매물타입,거래타입,보증금/매매가,월세,전용면적,공급면적,층,방향,건물명,주소,설명,태그,등록일,위도,경도,중개사
2539386365,중소형사무실,사무실,월세,"5,000",350,138,138,6/6,동향,중소형사무실,,"선정릉역 도보 2분, 대로변, 룸2, 테라스 있는 전망 좋은 사무실","25년이내, 테라스, 역세권, 고층",20250723,37.508974,127.04413,(주)마이다스부동산중개법인
2539616667,중소형사무실,사무실,월세,1억,580,283,231,4/6,북향,중소형사무실,,초역세권 전용70 금액대비 최상의 조건 사무실,"25년이상, 역세권, 중층, 주차가능",20250723,37.509363,127.041806,부동산중개법인 익스퍼트 (주)
2538856950,대형사무실,사무실,월세,2억,"1,600",528,485,1/3,동향,대형사무실,,"언주역 초역세권, 신축급 리모델링 160p 역세권 초가성비 인테리어 사옥","25년이내, 융자금없는, 역세권, 1층",20250723,37.50606,127.035757,(주)원앤원부동산중개법인
2539569867,중소형사무실,사무실,월세,"1억 2,000","1,200",287,264,2/6,남동향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","25년이내, 지상층(1층제외), 주차가능, 엘리베이터",20250723,37.496652,127.038015,스페이스제이공인중개사사무소
2539303536,중소형사무실,사무실,월세,"2,000",270,102,66,3/5,동향,중소형사무실,,A급 실사진 역삼역 5분거리 인테리어 최상 중소형사무실,"25년이상, 역세권, 중층, 주차가능",20250723,37.500646,127.040185,주식회사 아하부동산중개법인
2539564031,중소형사무실,사무실,월세,"5,000",400,153,120,4/7,서향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","4년이내, 중층, 주차가능, 엘리베이터",20250723,37.492899,127.041006,스페이스제이공인중개사사무소
2539597043,중소형사무실,사무실,월세,"8,000",600,195,171,4/10,북동향,중소형사무실,,"역삼역내외관특S급,룸5,자주식주차,보시면계약","15년이내, 역세권, 중층, 주차가능",20250723,37.498957,127.035055,주식회사 강남부동산중개
2539570102,중소형사무실,사무실,월세,"3,000",330,139,115,2/6,남향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","25년이내, 지상층(1층제외), 주차가능, 엘리베이터",20250723,37.495745,127.036853,스페이스제이공인중개사사무소
2537952435,대형사무실,사무실,월세,4억 688,"4,068",825,478,11/20,남향,대형사무실,,"법무법인, 인테리어무상인","25년이상, 역세권, 중층, 관리비10만원이하",20250723,37.499781,127.032202,주식회사블루핀부동산중개
2539175496,대형사무실,사무실,월세,2억,"1,100",487,396,1/14,북동향,대형사무실,,,"25년이상, 역세권, 1층, 주차가능",20250723,37.497611,127.038053,(주)마이다스부동산중개법인서초
